✅ Pretrained weights loaded for CUB from /tmp/rohan_workspace/AGMBiN/models/model_AGMBiN_IN1K_150e.pth

🔹 Phase 1: Warmup (Linear)
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/5	5.2742		33.38%		0.000000	00:52		💾 BEST
02/5	5.1577		48.07%		0.000000	00:48		💾 BEST
03/5	4.9238		51.16%		0.000000	00:49		💾 BEST
04/5	4.6009		53.18%		0.000000	00:48		💾 BEST
05/5	4.2036		55.37%		0.000000	00:49		💾 BEST

🔹 Phase 2: Full Network Joint Fine-Tuning
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/50	3.7001		60.96%		0.000050	01:43		💾 BEST
02/50	3.2820		65.65%		0.000050	01:42		💾 BEST
03/50	2.9317		70.12%		0.000050	01:42		💾 BEST
04/50	2.6744		72.45%		0.000049	02:23		💾 BEST
05/50	2.4747		73.99%		0.000049	03:35		💾 BEST
06/50	2.3063		75.51%		0.000048	03:39		💾 BEST
07/50	2.1675		76.49%		0.000048	03:38		💾 BEST
08/50	2.0439		77.39%		0.000047	04:27		💾 BEST
09/50	1.9525		78.32%		0.000046	05:28		💾 BEST
10/50	1.8693		79.34%		0.000045	05:29		💾 BEST
11/50	1.8254		79.65%		0.000044	05:28		💾 BEST
12/50	1.7560		80.12%		0.000043	05:30		💾 BEST
13/50	1.6983		80.64%		0.000042	05:28		💾 BEST
14/50	1.6474		81.05%		0.000041	05:28		💾 BEST
15/50	1.6243		81.53%		0.000040	05:28		💾 BEST
16/50	1.5859		81.64%		0.000039	05:30		💾 BEST
17/50	1.5475		81.86%		0.000037	05:28		💾 BEST
18/50	1.5277		81.62%		0.000036	05:28		
19/50	1.4873		82.31%		0.000035	05:28		💾 BEST
20/50	1.4753		82.02%		0.000033	05:30		
21/50	1.4493		82.52%		0.000032	05:28		💾 BEST
22/50	1.4126		82.83%		0.000030	05:27		💾 BEST
23/50	1.4057		82.81%		0.000029	05:28		
24/50	1.3841		82.62%		0.000027	05:29		
25/50	1.3785		82.95%		0.000026	05:28		💾 BEST
26/50	1.3659		82.97%		0.000024	05:28		💾 BEST
27/50	1.3636		83.09%		0.000022	05:28		💾 BEST
28/50	1.3433		83.47%		0.000021	05:29		💾 BEST
29/50	1.3434		83.52%		0.000019	05:30		💾 BEST
30/50	1.3317		83.43%		0.000018	05:31		
31/50	1.3169		83.43%		0.000016	05:32		
32/50	1.3076		83.34%		0.000015	05:31		
33/50	1.2963		83.48%		0.000014	05:31		
34/50	1.3011		83.60%		0.000012	04:26		💾 BEST
35/50	1.2908		83.76%		0.000011	03:42		💾 BEST
36/50	1.2836		83.55%		0.000010	03:42		
37/50	1.2768		83.40%		0.000009	03:41		
38/50	1.2701		83.43%		0.000008	03:42		
39/50	1.2774		83.41%		0.000007	03:42		
40/50	1.2813		83.66%		0.000006	03:41		
41/50	1.2693		83.53%		0.000005	03:42		
42/50	1.2680		83.71%		0.000004	03:42		
43/50	1.2580		83.62%		0.000003	03:42		
44/50	1.2743		83.36%		0.000003	03:42		
45/50	1.2593		83.71%		0.000002	03:42		
46/50	1.2579		83.64%		0.000002	03:41		
47/50	1.2640		83.38%		0.000001	03:41		
48/50	1.2586		83.52%		0.000001	03:42		
49/50	1.2664		83.47%		0.000001	03:42		
50/50	1.2607		83.57%		0.000001	03:42		

✅ Training Completed for CUB. Running advanced metric evaluation...

⏱️ Total Execution Time: 03h 48m 51s
