✅ Pretrained weights loaded for FGVC_Aircraft from /tmp/rohan_workspace/AGMBiN/models/model_AGMBiN_IN1K_150e.pth

🔹 Phase 1: Warmup (Linear)
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/5	4.6084		21.84%		0.000000	00:29		💾 BEST
02/5	4.5401		29.40%		0.000000	00:28		💾 BEST
03/5	4.4140		32.82%		0.000000	00:28		💾 BEST
04/5	4.2373		37.20%		0.000000	00:28		💾 BEST
05/5	4.0165		37.89%		0.000000	00:28		💾 BEST

🔹 Phase 2: Full Network Joint Fine-Tuning
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/50	3.7366		42.93%		0.000050	00:58		💾 BEST
02/50	3.4899		46.20%		0.000050	00:58		💾 BEST
03/50	3.2473		49.77%		0.000050	00:58		💾 BEST
04/50	3.0244		53.92%		0.000049	00:58		💾 BEST
05/50	2.8292		57.01%		0.000049	00:58		💾 BEST
06/50	2.6541		59.32%		0.000048	00:58		💾 BEST
07/50	2.5135		60.97%		0.000048	00:58		💾 BEST
08/50	2.3744		62.71%		0.000047	00:58		💾 BEST
09/50	2.2580		64.78%		0.000046	00:58		💾 BEST
10/50	2.1705		65.98%		0.000045	00:58		💾 BEST
11/50	2.0757		66.76%		0.000044	00:58		💾 BEST
12/50	1.9935		67.72%		0.000043	00:58		💾 BEST
13/50	1.9260		68.59%		0.000042	00:58		💾 BEST
14/50	1.8724		69.64%		0.000041	00:58		💾 BEST
15/50	1.8088		70.45%		0.000040	00:58		💾 BEST
16/50	1.7577		71.41%		0.000039	00:58		💾 BEST
17/50	1.7121		71.05%		0.000037	00:58		
18/50	1.6825		71.77%		0.000036	00:58		💾 BEST
19/50	1.6397		72.55%		0.000035	00:58		💾 BEST
20/50	1.6106		72.73%		0.000033	00:58		💾 BEST
21/50	1.5842		73.09%		0.000032	00:58		💾 BEST
22/50	1.5633		73.60%		0.000030	00:58		💾 BEST
23/50	1.5154		74.14%		0.000029	00:58		💾 BEST
24/50	1.4953		74.41%		0.000027	00:58		💾 BEST
25/50	1.4782		74.86%		0.000026	00:58		💾 BEST
26/50	1.4598		74.56%		0.000024	00:58		
27/50	1.4422		74.98%		0.000022	00:58		💾 BEST
28/50	1.4307		75.40%		0.000021	00:58		💾 BEST
29/50	1.4116		75.46%		0.000019	00:58		💾 BEST
30/50	1.4045		75.61%		0.000018	00:58		💾 BEST
31/50	1.3859		75.55%		0.000016	00:58		
32/50	1.3753		75.76%		0.000015	00:58		💾 BEST
33/50	1.3737		75.82%		0.000014	00:58		💾 BEST
34/50	1.3613		76.21%		0.000012	00:58		💾 BEST
35/50	1.3469		75.85%		0.000011	00:58		
36/50	1.3552		76.42%		0.000010	00:58		💾 BEST
37/50	1.3402		76.30%		0.000009	00:58		
38/50	1.3357		76.18%		0.000008	00:58		
39/50	1.3298		76.18%		0.000007	00:58		
40/50	1.3347		76.39%		0.000006	00:58		
41/50	1.3251		76.27%		0.000005	00:58		
42/50	1.3187		76.51%		0.000004	00:58		💾 BEST
43/50	1.3163		76.36%		0.000003	00:58		
44/50	1.3208		76.48%		0.000003	00:58		
45/50	1.3240		76.42%		0.000002	00:58		
46/50	1.3171		76.27%		0.000002	00:58		
47/50	1.3145		76.33%		0.000001	00:58		
48/50	1.3159		76.60%		0.000001	00:58		💾 BEST
49/50	1.3186		76.42%		0.000001	00:58		
50/50	1.3163		76.36%		0.000001	00:58		

✅ Training Completed for FGVC_Aircraft. Running advanced metric evaluation...

⏱️ Total Execution Time: 00h 51m 15s
