✅ Pretrained weights loaded for Food_101 from /tmp/rohan_workspace/AGMBiN/models/model_AGMBiN_IN1K_150e.pth

🔹 Phase 1: Warmup (Linear)
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/5	4.3230		44.43%		0.000000	22:51		💾 BEST
02/5	3.5575		53.04%		0.000000	22:53		💾 BEST
03/5	2.9038		59.82%		0.000000	22:53		💾 BEST
04/5	2.5521		64.03%		0.000000	22:53		💾 BEST
05/5	2.3576		67.12%		0.000000	22:53		💾 BEST

🔹 Phase 2: Full Network Joint Fine-Tuning
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/50	2.0811		72.49%		0.000050	50:39		💾 BEST
02/50	1.9162		74.68%		0.000050	40:14		💾 BEST
03/50	1.8219		76.37%		0.000050	19:03		💾 BEST
04/50	1.7490		77.69%		0.000049	19:03		💾 BEST
05/50	1.6954		78.56%		0.000049	19:03		💾 BEST
06/50	1.6465		79.46%		0.000048	19:02		💾 BEST
07/50	1.6066		79.75%		0.000048	19:02		💾 BEST
08/50	1.5763		80.45%		0.000047	19:02		💾 BEST
09/50	1.5450		80.66%		0.000046	19:02		💾 BEST
10/50	1.5156		81.26%		0.000045	19:02		💾 BEST
11/50	1.4920		81.39%		0.000044	19:02		💾 BEST
12/50	1.4728		81.68%		0.000043	19:02		💾 BEST
13/50	1.4497		81.91%		0.000042	19:02		💾 BEST
14/50	1.4309		82.06%		0.000041	19:02		💾 BEST
15/50	1.4143		82.23%		0.000040	19:02		💾 BEST
16/50	1.3960		82.14%		0.000039	19:02		
17/50	1.3814		82.34%		0.000037	19:03		💾 BEST
18/50	1.3707		82.49%		0.000036	19:03		💾 BEST
19/50	1.3553		82.51%		0.000035	19:03		💾 BEST
20/50	1.3449		82.65%		0.000033	19:03		💾 BEST
21/50	1.3357		82.70%		0.000032	19:03		💾 BEST
22/50	1.3269		82.81%		0.000030	19:03		💾 BEST
23/50	1.3147		82.76%		0.000029	19:03		
24/50	1.3065		82.91%		0.000027	19:03		💾 BEST
25/50	1.2960		82.93%		0.000026	19:02		💾 BEST
26/50	1.2904		83.07%		0.000024	19:02		💾 BEST
27/50	1.2831		83.08%		0.000022	19:02		💾 BEST
28/50	1.2773		83.03%		0.000021	19:02		
29/50	1.2708		83.14%		0.000019	19:02		💾 BEST
30/50	1.2656		82.94%		0.000018	19:02		
31/50	1.2600		83.11%		0.000016	19:02		
32/50	1.2555		83.20%		0.000015	19:03		💾 BEST
33/50	1.2507		83.19%		0.000014	19:02		
34/50	1.2488		83.09%		0.000012	19:03		
35/50	1.2448		83.22%		0.000011	19:03		💾 BEST
36/50	1.2410		83.36%		0.000010	19:02		💾 BEST
37/50	1.2399		83.30%		0.000009	19:01		
38/50	1.2365		83.27%		0.000008	19:01		
39/50	1.2355		83.21%		0.000007	19:02		
40/50	1.2325		83.32%		0.000006	19:03		
41/50	1.2307		83.26%		0.000005	19:01		
42/50	1.2308		83.23%		0.000004	19:01		
43/50	1.2294		83.28%		0.000003	19:02		
44/50	1.2264		83.29%		0.000003	19:02		
45/50	1.2249		83.25%		0.000002	19:02		
46/50	1.2265		83.37%		0.000002	19:03		💾 BEST
47/50	1.2262		83.30%		0.000001	19:02		
48/50	1.2265		83.29%		0.000001	19:03		
49/50	1.2250		83.23%		0.000001	19:03		
50/50	1.2240		83.30%		0.000001	19:03		

✅ Training Completed for Food_101. Running advanced metric evaluation...

⏱️ Total Execution Time: 18h 40m 50s
