✅ Pretrained weights loaded for Stanford_Dogs from /tmp/rohan_workspace/AGMBiN/models/model_AGMBiN_IN1K_150e.pth

🔹 Phase 1: Warmup (Linear)
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
✅ Pretrained weights loaded for Stanford_Dogs from /tmp/rohan_workspace/AGMBiN/models/model_AGMBiN_IN1K_150e.pth

🔹 Phase 1: Warmup (Linear)
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
✅ Pretrained weights loaded for Stanford_Dogs from /tmp/rohan_workspace/AGMBiN/models/model_AGMBiN_IN1K_150e.pth

🔹 Phase 1: Warmup (Linear)
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/5	4.6948		32.22%		0.000000	02:23		💾 BEST
02/5	4.3667		47.07%		0.000000	04:34		💾 BEST
03/5	3.8439		54.61%		0.000000	04:36		💾 BEST
04/5	3.3111		59.51%		0.000000	04:38		💾 BEST
05/5	2.8768		65.38%		0.000000	04:39		💾 BEST

🔹 Phase 2: Full Network Joint Fine-Tuning
Epoch	Train_Loss	Val_Acc		LR		Time(m:s)	Status
01/50	2.3647		71.91%		0.000050	14:04		💾 BEST
02/50	2.0716		74.70%		0.000050	16:47		💾 BEST
03/50	1.9277		77.37%		0.000050	14:16		💾 BEST
04/50	1.8260		78.28%		0.000049	12:39		💾 BEST
05/50	1.7521		79.22%		0.000049	12:38		💾 BEST
06/50	1.6865		79.89%		0.000048	12:38		💾 BEST
07/50	1.6406		80.25%		0.000048	12:40		💾 BEST
08/50	1.5973		80.47%		0.000047	12:38		💾 BEST
09/50	1.5487		80.80%		0.000046	12:39		💾 BEST
10/50	1.5233		81.11%		0.000045	12:38		💾 BEST
11/50	1.4821		81.74%		0.000044	12:39		💾 BEST
12/50	1.4590		82.10%		0.000043	12:39		💾 BEST
13/50	1.4360		81.93%		0.000042	12:37		
14/50	1.4090		82.36%		0.000041	12:38		💾 BEST
15/50	1.3760		82.00%		0.000040	12:38		
16/50	1.3660		82.24%		0.000039	12:39		
17/50	1.3484		82.65%		0.000037	12:39		💾 BEST
18/50	1.3356		82.70%		0.000036	09:16		💾 BEST
19/50	1.3137		82.80%		0.000035	08:24		💾 BEST
20/50	1.3078		82.48%		0.000033	08:23		
21/50	1.2930		82.27%		0.000032	06:56		
22/50	1.2777		82.63%		0.000030	03:53		
23/50	1.2682		82.58%		0.000029	03:53		
24/50	1.2605		82.27%		0.000027	03:53		
25/50	1.2525		82.53%		0.000026	03:53		
26/50	1.2410		82.96%		0.000024	03:53		💾 BEST
27/50	1.2217		82.87%		0.000022	03:53		
28/50	1.2271		82.87%		0.000021	03:53		
29/50	1.2177		83.11%		0.000019	03:53		💾 BEST
30/50	1.2088		82.72%		0.000018	03:53		
31/50	1.2109		82.94%		0.000016	03:53		
32/50	1.2055		82.87%		0.000015	03:53		
33/50	1.1956		83.04%		0.000014	03:53		
34/50	1.1968		83.21%		0.000012	03:53		💾 BEST
35/50	1.1935		82.87%		0.000011	03:53		
36/50	1.1872		82.87%		0.000010	03:53		
37/50	1.1827		82.84%		0.000009	03:53		
38/50	1.1761		82.63%		0.000008	03:54		
39/50	1.1811		83.16%		0.000007	03:53		
40/50	1.1729		83.01%		0.000006	03:53		
41/50	1.1776		82.80%		0.000005	03:53		
42/50	1.1782		82.94%		0.000004	03:53		
43/50	1.1785		82.63%		0.000003	03:53		
44/50	1.1769		82.60%		0.000003	03:53		
45/50	1.1759		83.04%		0.000002	03:53		
46/50	1.1720		82.87%		0.000002	03:53		
47/50	1.1686		82.75%		0.000001	03:53		
48/50	1.1759		82.65%		0.000001	03:53		
49/50	1.1749		82.53%		0.000001	03:53		
50/50	1.1641		82.92%		0.000001	03:53		

✅ Training Completed for Stanford_Dogs. Running advanced metric evaluation...

⏱️ Total Execution Time: 06h 29m 23s
